Cursos,"Total 
Vagas 
Regulares","Total 
Vagas 
VU","Ampla 
Concorrência",,Reserva de Vagas para PP,
,,,Mínimo,Máximo,15%*,"27,2%*"
Administração (Noturno),180,143,94,116,27,49
Administração Pública (Noturno),60,47,31,38,9,16
Arquitetura e Urbanismo (Noturno),30,24,16,19,5,8
Artes Cênicas (Integral)**,25,25,16,19,6,9
Artes Visuais (Integral)**,30,30,19,22,8,11
Ciência da Computação (Noturno),50,40,26,32,8,14
Ciências Biológicas - Licenciatura (Noturno),45,33,21,26,7,12
Ciências Biológicas (Integral),45,33,21,26,7,12
Ciências do Esporte (Integral),60,46,30,37,9,16
Ciências Econômicas (Integral),70,56,37,45,11,19
Ciências Econômicas (Noturno),35,28,18,23,5,10
Ciências Sociais (Integral),55,44,29,36,8,15
Ciências Sociais (Noturno),55,44,29,36,8,15
Comunicação Social-Midialogia (Integral),30,24,16,19,5,8
Curso 51: Engenharia Física/ Física/ Física Médica e Biomédica/ Matemática/ Matemática Aplicada e Computacional (Integral),155,109,67,86,23,42
Dança (Integral)**,25,25,16,19,6,9
Educação Física (Integral),50,40,26,32,8,14
Educação Física (Noturno),50,40,26,32,8,14
Enfermagem (Integral),40,30,19,24,6,11
Engenharia Agrícola (Integral),70,56,37,45,11,19
Engenharia Ambiental (Noturno),60,44,28,35,9,16
Engenharia Civil (Integral),80,62,40,50,12,22
Engenharia de Alimentos (Integral),80,60,38,48,12,22
Engenharia de Alimentos (Noturno),35,24,14,19,5,10
Engenharia de Computação (Integral),90,63,39,49,14,24
Engenharia de Controle e Automação (Noturno),50,33,19,25,8,14
Engenharia de Manufatura (Integral),60,45,29,36,9,16
Engenharia de Produção (Integral),60,45,29,36,9,16
Engenharia de Telecomunicações (Integral),55,37,22,29,8,15
Engenharia de Transportes (Noturno),55,37,22,29,8,15
Engenharia Elétrica (Integral),70,49,30,38,11,19
Engenharia Elétrica (Noturno),30,21,13,16,5,8
Engenharia Mecânica (Integral),140,103,65,82,21,38
Engenharia Química (Integral),60,45,29,36,9,16
Engenharia Química (Noturno),40,29,18,23,6,11
Estatística (Integral),70,49,30,38,11,19
Estudos Literários (Integral),20,16,11,13,3,5
Farmácia (Integral),40,32,21,26,6,11
Filosofia (Integral),30,24,16,19,5,8
Física - Licenciatura (Noturno),40,28,17,22,6,11
Fonoaudiologia (Integral),30,22,14,17,5,8
Geografia (Integral),20,16,11,13,3,5
Geografia (Noturno),30,24,16,19,5,8
Geologia (Integral),30,24,16,19,5,8
História (Integral),40,32,21,26,6,11
Letras - Licenciatura (Integral),30,24,16,19,5,8
Letras - Licenciatura (Noturno),30,24,16,19,5,8
Licenciatura Integrada Química/Física (Noturno),30,24,16,19,5,8
Linguística (Integral),20,16,11,13,3,5
Matemática - Licenciatura (Noturno),70,49,30,38,11,19
Medicina (Integral),110,86,56,69,17,30
Música Erudita: Clarineta (Integral),3,3,3,3,0,0
Música Erudita: Contrabaixo (Integral),2,2,2,2,0,0
Música Erudita: Flauta (Integral),3,3,3,3,0,0
Música Erudita: Percussão (Integral),2,2,2,2,0,0
Música Erudita: Piano (Integral),3,3,3,3,0,0
Música Erudita: Trombone (Integral),3,3,3,3,0,0
Música Erudita: Trompete (Integral),2,2,2,2,0,0
Música Erudita: Viola (Integral),2,2,2,2,0,0
Música Erudita: Violão (Integral),2,2,2,2,0,0
Música Erudita: Violino (Integral),2,2,2,2,0,0
Música Erudita: Violoncelo (Integral),2,2,2,2,0,0
Música Erudita: Voz (Integral),2,2,2,2,0,0
Música Popular: Bateria (Integral),2,2,2,2,0,0
Música Popular: Contrabaixo (Integral),2,2,2,2,0,0
Música Popular: Guitarra (Integral),2,2,2,2,0,0
Música Popular: Piano (Integral),2,2,2,2,0,0
Música Popular: Saxofone (Integral),2,2,2,2,0,0
Música Popular: Violão (Integral),2,2,2,2,0,0
Música Popular: Voz (Integral),2,2,2,2,0,0
Música: Composição (Integral)**,5,5,3,4,1,2
Música: Licenciatura (Integral)**,15,13,7,9,4,6
Música: Regência (Integral),3,3,3,3,0,0
Nutrição (Integral),60,46,30,37,9,16
Odontologia (Integral),80,60,38,48,12,22
Pedagogia - Licenciatura (Integral),45,36,24,29,7,12
Pedagogia - Licenciatura (Noturno),45,36,24,29,7,12
Química (Integral),70,49,30,38,11,19
Química Tecnológica (Noturno),40,28,17,22,6,11
Sistemas de Informação (Integral),50,33,19,25,8,14
Tecnologia em Análise e Desenvolvimento de Sistemas (Noturno),50,33,19,25,8,14
Tecnologia em Saneamento Ambiental (Noturno),70,49,30,38,11,19
Total,3340,2537,1633,2021,516,904
"Curso 
Treineiros 
Ciências 
Exatas/ 
Tecnológicas",100,,73,85,15,27
"Curso 
Treineiros 
Ciências 
Biológicas / 
Saúde",150,,109,128,23,41
"Curso 
Treineiros 
Ciências 
Humanas / 
Artes",100,,73,85,15,27
